,Company,Average,Lowest,Highest,Python,aws,sql,keras,pytorch,scikit,tensor,hadoop,tableau,RoleName,Rel-Experience,Total_Exp,Prev-CTC
257,Raju Tech,494083.0,590826.0,644381.0,1,0,0,0,0,0,0,0,0,6,0,0,109599.0
258,Nilkamal,510756.0,615446.0,661445.0,1,0,0,0,0,0,0,0,0,0,0,4,694941.0
259,JLL,1298859.0,1558547.0,1688600.0,1,1,1,1,0,1,1,0,1,0,1,5,769581.0
260,Standard Chartered Bank,1449421.0,1542913.0,2080640.0,1,0,1,0,0,0,0,0,0,0,1,9,1150097.0
261,Sanofi,927666.0,838816.0,1480350.0,1,0,1,0,0,0,0,0,1,0,0,4,450004.0
262,mfine,1703433.0,2015060.0,2243522.0,1,0,0,0,0,0,0,0,0,0,1,9,1193579.0
263,Cerulean Information Technology,851119.0,1018134.0,1109663.0,1,1,1,0,0,0,0,0,0,0,0,4,325063.0
264,American Express Global Business Travel,1383802.0,1340084.0,2119422.0,0,1,1,0,0,0,0,0,1,0,1,10,1271897.0
265,Sociolla,653500.0,781956.0,851793.0,1,0,1,1,0,0,1,0,0,0,1,3,687012.0
266,TCS e-Serve International,910228.0,1031558.0,1244013.0,1,0,0,0,0,0,0,0,0,1,1,3,671622.0
267,Sonata Software,527400.0,409217.0,909282.0,1,0,1,0,0,0,0,0,0,1,0,3,365260.0
268,Shiprocket,809659.0,752455.0,1271692.0,0,0,1,0,0,0,0,1,1,2,0,4,492948.0
269,Sezzle,590352.0,573192.0,902688.0,1,0,1,0,0,0,0,0,0,0,1,4,714544.0
270,Ugam,1421348.0,1255495.0,2297874.0,1,1,1,0,0,0,0,1,1,2,1,10,1204864.0
271,Tata Research Development and Design Centre,891651.0,858562.0,1370566.0,0,0,0,0,0,0,0,0,0,0,0,3,689707.0
272,Radhakrishna Foodland,253152.0,301772.0,331107.0,1,0,1,0,0,0,0,0,0,0,0,0,215274.0
273,GAVS Technologies,846937.0,1015301.0,1102041.0,0,0,0,0,0,0,0,0,0,0,1,3,701356.0
274,Bahwan CyberTek,1030606.0,773608.0,1802906.0,1,0,1,0,0,0,0,0,1,1,0,6,977753.0
275,Confidential,1501862.0,1438210.0,2316444.0,1,1,1,0,1,1,1,0,0,6,1,10,1148974.0
276,Cipla,732066.0,691862.0,1138302.0,0,0,1,0,0,0,0,0,1,1,0,3,560153.0
277,Decimal Technologies,864883.0,596811.0,1565397.0,0,0,1,0,0,0,0,1,0,2,1,3,781421.0
278,Lenovo,1593071.0,1490830.0,2491848.0,0,0,0,0,0,0,0,0,0,0,1,7,1230423.0
279,TATA ELXSI,665349.0,635532.0,1027840.0,1,0,1,0,0,0,0,0,0,2,0,4,492595.0
280,Bounce,1587442.0,1834991.0,2133613.0,1,0,1,0,0,0,0,0,1,0,0,8,939839.0
281,Broadridge,1348008.0,1130310.0,2239710.0,1,0,0,0,0,0,0,1,0,2,0,7,843313.0
282,IntellectFaces,180343.0,158996.0,160467.0,1,0,0,0,1,1,0,0,0,0,0,0,290600.0
283,XYZ (Turkey),1123950.0,643888.0,2165986.0,0,0,0,0,0,0,0,0,1,0,0,6,841381.0
284,WhiteHat Jr,194138.0,157158.0,176569.0,0,0,0,0,0,0,0,0,0,0,1,0,212881.0
285,Dun & Bradstreet,197126.0,190349.0,194962.0,0,0,0,0,0,0,0,0,0,1,0,0,257929.0
286,(no)name,758163.0,617726.0,1277681.0,1,0,0,0,0,0,0,0,0,0,1,3,742992.0
287,Western Digital,1072787.0,1025679.0,1656288.0,1,1,0,1,1,1,1,0,0,0,0,6,968408.0
288,Rahul Industries,471556.0,490269.0,688622.0,1,0,1,0,0,0,0,0,0,0,1,2,126895.0
289,ZS Associates,185680.0,198555.0,182933.0,0,0,0,0,0,0,0,0,0,0,0,0,185962.0
290,Maybank,1147775.0,1268762.0,1600675.0,0,0,0,0,0,0,0,0,0,1,1,5,677500.0
291,Walmart Global Tech,177795.0,188458.0,196108.0,0,0,0,0,0,0,0,0,0,0,1,0,180346.0
292,Honeywell,184860.0,165681.0,170380.0,1,0,0,0,0,0,0,1,0,2,0,0,216894.0
293,Don't Know,174856.0,165889.0,195238.0,0,1,0,0,0,0,0,0,0,2,0,0,257973.0
294,Social Prachar,165051.0,153326.0,157694.0,1,0,1,0,0,0,0,0,1,2,1,0,143684.0
295,Yes Bank,166220.0,193898.0,191858.0,1,0,1,0,0,0,0,1,0,1,0,0,261179.0
296,CareerGuide.com,180187.0,184802.0,169335.0,1,1,1,0,0,0,0,0,0,2,1,0,214017.0
297,1mg,172685.0,164789.0,174087.0,0,0,0,0,0,0,0,0,0,1,0,0,115036.0
298,Dr. Reddy's,160166.0,191808.0,190280.0,1,1,1,0,0,0,0,1,0,2,0,0,119671.0
299,Vidooly Media Tech,168064.0,165259.0,164473.0,1,0,0,0,0,0,0,0,0,0,1,0,267120.0
300,CommerceIQ,162352.0,153440.0,164360.0,0,1,1,0,0,0,0,1,0,2,1,0,141939.0
301,DBS Bank,197515.0,156566.0,158753.0,0,0,0,0,0,0,0,0,0,6,1,0,108163.0
302,PwC,401260.0,483985.0,519165.0,0,0,0,0,0,0,0,0,0,0,0,1,259271.0
303,MetLife,950799.0,291912.0,2085085.0,0,0,0,0,0,0,0,0,0,0,0,4,500725.0
305,Loylty Rewardz Mngt,1278815.0,1038314.0,2158723.0,0,0,0,0,0,0,0,0,0,0,1,6,1108490.0
306,CASHe,844277.0,624508.0,1486184.0,0,0,0,0,0,0,0,0,0,0,1,3,758621.0
307,Unified Healthcare Group,1441042.0,871425.0,2731179.0,0,0,0,0,0,0,0,0,0,1,1,8,1140223.0
308,Rolls-Royce,914163.0,841572.0,1443835.0,1,0,1,0,0,0,0,0,0,0,0,3,535889.0
309,ATCS,819484.0,548710.0,1500000.0,0,0,0,0,0,0,0,0,0,0,1,4,716376.0
310,Apar Technologies,931124.0,512507.0,1815302.0,0,0,0,0,0,0,0,0,0,0,0,4,340310.0
311,Kyndryl,1791495.0,922512.0,3556226.0,0,0,1,0,0,0,0,0,1,4,1,9,1250451.0
312,GEP,946286.0,865716.0,1500000.0,0,0,0,0,0,0,0,0,0,0,0,3,372191.0
313,Franklin Templeton Investments,1249174.0,1271494.0,1851441.0,0,0,0,0,0,0,0,0,0,0,0,6,1077590.0
314,Square Panda,670451.0,676550.0,999578.0,0,0,1,0,0,0,0,1,0,2,1,3,696193.0
315,Mbb Labs,1000310.0,1150967.0,1349809.0,0,0,0,0,0,0,0,0,0,0,0,6,964829.0
317,Shubh Loans,724908.0,521271.0,1291000.0,0,1,0,0,0,0,0,0,0,0,1,4,673056.0
318,Amdocs,948781.0,666385.0,1705567.0,1,1,1,0,0,0,0,1,1,0,0,3,430868.0
319,CRISIL,786764.0,385435.0,1581475.0,0,1,0,0,0,0,0,0,0,0,1,3,629739.0
320,Cognizant,868426.0,337784.0,1833282.0,0,1,0,0,0,0,0,0,0,1,1,4,606793.0
321,Intelligence Node,802122.0,650000.0,1355305.0,0,0,1,0,0,0,0,0,0,1,1,3,648771.0
322,HSBC Electronic Data Processing India,1289350.0,1023374.0,2200000.0,1,1,0,0,0,0,0,1,0,2,1,6,1230822.0
323,iOPEX Technologies,475818.0,420786.0,768760.0,1,0,1,0,0,0,0,0,0,1,1,0,235723.0
324,TCG Digital,763944.0,336000.0,1573861.0,1,0,1,0,0,0,0,0,0,3,0,4,502892.0
325,SLK Group,608018.0,269411.0,1250635.0,0,0,0,0,0,0,0,0,0,0,0,3,594478.0
326,Prudential plc,860257.0,968805.0,1181837.0,1,0,1,0,0,0,0,0,0,0,1,3,630870.0
327,Landmark Group,1310517.0,1606998.0,1669295.0,0,0,1,0,0,0,0,1,0,2,1,8,1168624.0
328,Limeroad,1026520.0,1167716.0,1398584.0,1,1,0,0,0,0,0,1,0,2,0,5,436466.0
329,Bewakoof Brands,604010.0,642799.0,867225.0,1,1,0,0,0,0,0,0,0,0,1,4,784559.0
330,L&T Financial Services,774819.0,865716.0,1071332.0,0,0,1,0,0,0,0,1,1,0,0,3,412496.0
331,MOURI Tech,677818.0,261822.0,1432724.0,1,0,1,0,0,0,1,0,0,2,1,4,760399.0
332,UBS,1024922.0,974804.0,1587500.0,0,0,1,0,0,0,0,1,1,0,1,5,674862.0
333,AXA,1052730.0,1096764.0,1535062.0,0,0,0,0,0,0,0,0,0,0,0,5,663845.0
334,Ramboll,471601.0,565106.0,613897.0,0,0,0,0,0,0,0,0,0,0,1,0,228765.0
335,SBI General Insurance,494386.0,592637.0,643329.0,0,0,0,0,0,0,0,0,0,0,1,0,152475.0
336,Hexal,514818.0,617057.0,669989.0,0,0,1,0,0,0,0,0,0,2,1,4,632148.0
337,GrowthSpree,529086.0,635665.0,687050.0,1,1,0,0,0,0,0,1,0,2,1,4,635580.0
338,IDK,499167.0,603144.0,644773.0,1,0,0,0,1,1,1,0,0,0,1,2,119412.0
339,Flex,1048460.0,1258114.0,1363037.0,0,0,1,0,1,0,1,0,0,0,0,5,537000.0
340,PepsiCo,1309860.0,1561559.0,1713090.0,0,0,0,0,0,0,0,0,1,0,1,10,1145261.0
341,Disney | Star,1720148.0,2054151.0,2246219.0,1,0,1,0,0,1,0,1,1,0,0,9,1174012.0
342,StoneX,1366068.0,1637280.0,1777891.0,1,0,1,0,0,0,0,0,1,2,0,7,1033367.0
343,Dunn Lumber,793884.0,950978.0,1033732.0,0,0,1,0,0,0,0,0,1,1,1,4,778763.0
344,Prodotti Poliplastici,419768.0,505143.0,544276.0,0,0,0,0,0,0,0,0,0,5,0,0,183778.0
345,Namaste Credit,637002.0,767592.0,824912.0,0,0,0,0,0,0,0,0,0,0,0,4,650140.0
346,3M,732269.0,882287.0,948386.0,0,0,1,0,0,0,0,0,1,1,1,4,691075.0
347,Grant Thornton,797964.0,961440.0,1033470.0,1,1,0,0,0,0,0,0,0,2,0,4,672003.0
348,Q Management,157395.0,177086.0,181338.0,0,0,0,0,1,0,1,0,0,0,0,0,117023.0
349,Hyperthink Systems,840150.0,1009288.0,1091088.0,0,0,0,0,0,0,0,0,0,0,0,3,588356.0
350,Tower Research Capital LLC,998447.0,1205309.0,1290808.0,0,0,0,0,0,0,0,0,1,1,0,4,584253.0
351,Lobo Staffing Solutions,695320.0,836403.0,901896.0,1,0,0,0,0,0,0,0,0,0,0,3,452233.0
352,Razer,995916.0,1200633.0,1289158.0,1,1,1,0,0,0,0,0,0,0,0,3,457263.0
353,Open Systems Technologies,727216.0,875214.0,942826.0,0,0,0,0,0,0,0,0,0,0,0,4,673192.0
354,Unifytech,260009.0,312822.0,337200.0,0,0,0,0,0,0,0,0,0,1,1,0,286007.0
355,Samsung C&T,547608.0,652642.0,716379.0,0,0,0,0,0,0,0,0,0,0,1,3,783558.0
356,Lovely Professional University,1457070.0,1745449.0,1897227.0,1,1,1,0,0,0,0,0,1,0,0,10,1134339.0
357,Moglix,1075512.0,1295036.0,1393744.0,0,0,1,0,0,0,0,0,1,1,1,5,645636.0
358,Emorphis,712520.0,852156.0,929145.0,1,1,0,0,0,0,0,0,0,2,1,3,694763.0
359,Karan,152111.0,156337.0,168436.0,0,0,1,0,0,0,0,0,0,2,1,0,233367.0
360,Invendis Technologies India,1251170.0,1498133.0,1629791.0,1,0,0,0,0,0,0,0,0,0,0,6,917568.0
361,Toyota North America,756305.0,910223.0,980540.0,0,0,0,0,0,0,0,0,0,0,0,3,363628.0
362,University of Pune,824817.0,989293.0,1072749.0,1,0,0,0,0,0,0,0,0,0,0,3,405371.0
363,BlueStacks,1386143.0,1656488.0,1808870.0,1,0,1,1,0,1,1,0,0,0,0,9,872812.0
364,Staunch It Solutions (India),1226441.0,1472110.0,1593993.0,1,0,1,0,0,0,0,0,0,0,1,6,1162059.0
365,Cholamandalam Investment & Finance,929761.0,1110678.0,1213724.0,1,0,0,0,0,0,0,0,0,2,0,3,559009.0
366,Tommy Bahama,564428.0,674051.0,737018.0,1,1,0,1,1,1,1,0,0,0,1,4,694606.0
367,The Judge Group,245009.0,294768.0,317754.0,0,0,1,0,0,0,0,0,0,0,0,0,245233.0
368,Sportz Village Schools,193266.0,171646.0,160039.0,1,0,1,0,0,1,0,0,0,6,0,0,250019.0
369,National Pork Board,177475.0,197012.0,179817.0,1,0,1,0,0,0,0,0,0,0,0,0,196707.0
370,CIPL,190299.0,180959.0,199003.0,1,0,1,0,0,0,0,0,0,0,1,0,222527.0
371,Neo Media World,151025.0,156589.0,189697.0,0,0,0,0,0,0,0,0,0,0,0,0,244610.0
372,Intellectyx,165772.0,194642.0,174485.0,1,1,1,1,1,0,1,0,0,0,1,0,134018.0
373,Adda 247,163505.0,159009.0,177252.0,1,0,1,0,0,0,0,1,0,0,1,0,260418.0
374,Vymo,154409.0,150339.0,196002.0,1,0,1,0,0,1,1,1,0,0,1,0,122600.0
375,NMIMS,156612.0,186067.0,185994.0,1,0,1,0,0,0,0,0,1,0,1,0,117235.0
376,Amadeus,188924.0,160350.0,180856.0,1,0,1,1,0,1,1,1,1,0,1,0,181078.0
377,Meals on Wheels America,152200.0,176667.0,199633.0,1,1,1,0,0,0,0,1,0,2,0,0,204375.0
378,General Dynamics Information Technology,179257.0,192787.0,185226.0,0,0,0,0,0,0,0,0,0,0,1,0,287939.0
379,Career Confidential,189176.0,181175.0,193522.0,0,0,0,0,0,0,0,0,0,0,1,0,288447.0
380,L Brands,1302548.0,1573135.0,1683235.0,0,0,0,0,0,0,0,0,0,0,1,8,1225480.0
381,Greenberg Traurig,931124.0,512507.0,1815302.0,0,0,0,0,0,0,0,0,0,1,0,4,575615.0
382,Indigo Books & Music,194041.0,181290.0,164313.0,0,1,0,0,0,0,0,0,0,2,1,0,207687.0
383,WiT-ACE,303132.0,367028.0,390803.0,0,1,1,0,0,0,0,0,0,2,1,0,207330.0
384,Rubix Data Sciences,624876.0,748155.0,814036.0,1,0,0,0,0,0,0,1,0,2,0,4,601413.0
385,Deutsche Bank,1280955.0,1529830.0,1672558.0,1,0,1,0,0,0,0,0,1,0,0,5,608169.0
386,Aragen Life Sciences,634356.0,530780.0,1055110.0,0,0,0,0,0,0,0,0,0,0,1,3,665694.0
388,Philips,1734534.0,1084929.0,3251406.0,0,0,1,0,0,0,0,0,1,1,1,9,1268032.0
389,Intas Biopharmaceuticals,450346.0,263748.0,862116.0,0,1,0,0,0,0,0,0,0,0,0,2,255139.0
390,IASRI,407334.0,488017.0,530318.0,0,1,1,0,0,0,0,0,0,1,1,1,249982.0
391,Arya Solution,456016.0,549098.0,590941.0,1,1,1,0,0,0,0,0,0,2,0,0,209205.0
392,National Income Life,408410.0,492689.0,528337.0,0,1,0,0,0,0,0,0,0,0,1,2,262033.0
393,Symbiosis Institute of Computer Studies and Research,407064.0,486400.0,531260.0,1,0,0,0,0,0,0,0,0,0,0,2,267507.0
394,Swami Vivekanand Group of Institutions,413208.0,494772.0,538248.0,0,0,1,0,0,0,0,0,1,1,0,0,107939.0
395,Accor,406590.0,484541.0,531935.0,0,0,1,0,0,0,0,0,0,1,1,0,230557.0
396,BridgeLabz Solutions,409157.0,488876.0,534016.0,0,0,1,0,0,0,0,0,1,4,0,2,264407.0
397,HSBC Software Development India,841454.0,1008929.0,1094706.0,1,0,1,0,0,0,0,1,1,0,0,3,586039.0
398,Ackerman McQueen,834987.0,1003301.0,1084166.0,1,0,0,0,0,0,0,0,0,0,0,3,451871.0
399,Integra Micro Software Services (P),847594.0,1017219.0,1101765.0,1,0,1,0,0,0,0,0,0,2,0,3,636544.0
400,Tealium,800404.0,964260.0,1036750.0,1,0,1,0,0,0,0,0,0,0,0,4,458384.0
401,Canam,816946.0,981290.0,1061074.0,1,1,1,0,0,0,0,0,0,2,0,3,428386.0
402,Edupluscampus,808288.0,971439.0,1049280.0,0,0,0,0,0,0,0,0,0,0,0,3,659132.0
403,Ramesh & Co.,815875.0,976783.0,1062905.0,0,1,0,0,0,0,0,1,0,2,0,4,512909.0
404,SAMEER (R&D of DIT Govt of India),822751.0,989975.0,1066902.0,0,1,0,0,0,0,0,0,0,2,0,3,455941.0
405,MARS WEB Solution,852611.0,1023658.0,1107869.0,1,0,1,0,0,0,0,0,1,0,1,4,718893.0
406,Krish Compusoft Services,849312.0,1010159.0,1113120.0,1,0,0,0,0,0,0,0,0,0,0,3,338258.0
407,Norizen Soft Solutions,487223.0,587341.0,630716.0,1,1,1,0,1,0,1,0,0,6,0,1,280515.0
408,AppliedAICourse,512242.0,618331.0,662275.0,1,0,1,0,0,0,0,0,1,0,1,3,615705.0
409,Congregation Brit Shalom,513452.0,614098.0,669532.0,0,0,0,0,0,0,0,0,0,0,1,3,641439.0
410,HDNET,477468.0,572268.0,621402.0,0,0,0,0,0,0,0,0,0,0,1,2,215239.0
411,Dhiraj & Dheeraj,494007.0,590691.0,644326.0,0,0,0,0,0,0,0,0,0,0,0,2,208952.0
412,TNB,888492.0,1073125.0,1148104.0,0,0,0,0,0,0,0,0,0,0,0,4,553887.0
413,Belatrix,329114.0,396237.0,426547.0,0,0,0,0,0,0,0,0,0,1,0,0,221750.0
414,Arkin Systems,620327.0,742111.0,808707.0,0,0,1,0,0,0,0,0,0,1,1,3,653483.0
415,PokerStars,173721.0,207436.0,226867.0,1,1,1,0,0,0,0,1,0,2,0,0,189179.0
416,Alpinia Technologies,649894.0,783028.0,841708.0,0,0,1,0,0,0,0,0,0,1,0,3,618064.0
417,Open Insights,930921.0,1112151.0,1215151.0,1,0,1,0,0,0,0,0,0,1,1,4,637661.0
418,Cátedra UAM,1354227.0,1617720.0,1767847.0,1,0,1,0,0,0,0,0,0,0,1,9,1181942.0
419,Flytxt,1253964.0,1507615.0,1627295.0,0,0,0,0,0,0,0,0,0,0,1,5,788314.0
420,CleverTap,1669432.0,2007521.0,2166058.0,0,0,0,0,0,0,0,0,0,0,0,9,967414.0
421,Techlearn,996994.0,1198618.0,1293868.0,0,0,0,0,0,0,0,0,0,0,0,3,684932.0
422,Sankar and Moorthy Chartered Accountants,975154.0,1160996.0,1276888.0,0,0,0,0,0,0,0,0,0,0,0,3,481073.0
423,Aman,328795.0,395060.0,426927.0,0,0,0,0,0,0,0,0,0,0,0,0,204521.0
424,Tarakarama Cineplex,341779.0,409791.0,444656.0,0,0,1,0,0,0,0,0,1,4,1,2,134279.0
425,Hotify,1108175.0,1328619.0,1441818.0,1,0,1,1,1,1,0,0,0,0,0,5,494269.0
426,Q3 Technologies,359905.0,432325.0,467437.0,1,0,1,0,0,0,0,0,1,0,1,0,234998.0
427,Betsol,729831.0,875719.0,948858.0,0,0,0,0,0,0,0,0,0,0,1,3,627835.0
428,ACS Solutions,685840.0,823422.0,891177.0,1,0,1,0,0,0,0,0,1,1,0,4,467308.0
429,Infinx Healthcare,927246.0,1110048.0,1208066.0,0,0,0,0,0,0,0,0,0,0,1,3,663370.0
430,Xome,1206100.0,1445358.0,1569891.0,0,0,0,0,0,0,0,0,0,0,0,5,544565.0
431,N B Navale Sinhgad College of Engineering,730757.0,882533.0,944360.0,0,1,0,0,0,0,0,0,0,0,1,4,632118.0
432,SAS Institute,1055725.0,1260396.0,1378917.0,1,1,1,0,0,0,0,1,0,2,1,5,670116.0
433,Teras Tech Solutions,786898.0,947426.0,1019820.0,0,0,0,0,0,0,0,0,0,0,0,3,535717.0
434,Mystro,251135.0,301056.0,326781.0,1,0,0,0,0,0,0,0,0,0,1,0,164990.0
435,Monty Telecom Development,565149.0,673924.0,738948.0,0,0,0,0,0,0,0,0,0,0,1,3,636930.0
436,Arcadis,1005988.0,1202737.0,1312234.0,0,0,1,0,0,0,0,0,1,1,1,5,625378.0
437,Sam Houston State,250743.0,301647.0,325211.0,1,1,1,0,0,0,0,1,1,0,0,0,113265.0
438,Aran Group,1036918.0,1245281.0,1347015.0,1,0,1,0,0,0,0,0,1,1,1,5,676077.0
439,Strokx Technologies,199872.0,238375.0,261304.0,1,1,1,0,0,0,0,0,0,2,0,0,200702.0
440,Visible Alpha,1303766.0,1554463.0,1704952.0,0,1,0,0,0,0,0,0,0,1,1,8,1261318.0
441,Enterprise Bot,1083262.0,1288095.0,1420061.0,0,1,0,0,0,0,0,0,0,0,1,5,709611.0
442,Kapil IT Solutions,172599.0,207632.0,223865.0,0,0,1,0,0,0,0,0,0,1,1,0,165082.0
443,Qubit AI,1533136.0,1826347.0,2006492.0,1,0,1,0,0,0,0,0,0,1,1,9,1141865.0
444,Mondel?z International,1747675.0,2099183.0,2270005.0,1,1,1,0,0,0,0,1,0,2,1,8,1251438.0
445,Clovertex,732616.0,880129.0,951411.0,0,1,1,0,0,0,0,1,0,3,0,4,463952.0
446,Nanyang Technological University,239867.0,288255.0,311412.0,1,0,1,0,0,0,0,0,0,3,1,0,149763.0
447,Illinois Institute of Technology,1032697.0,1229123.0,1352620.0,0,0,0,0,0,0,0,0,0,0,1,6,1141771.0
448,Continental Automotive Group,164922.0,198534.0,213772.0,0,0,0,0,0,0,0,0,0,0,1,0,222372.0
449,PK,1097768.0,1314200.0,1430219.0,0,0,1,0,0,0,0,1,0,2,1,6,1230747.0
450,Shashank Medi Pharma,195731.0,234881.0,254446.0,0,0,0,0,0,0,0,0,0,0,0,0,180882.0
451,NextGenVision Technology,918856.0,1105267.0,1191874.0,1,0,1,0,0,0,0,0,0,0,1,3,606075.0
452,"AnalyticsPlus, LLC",679626.0,816959.0,882105.0,0,0,0,0,0,0,0,0,0,0,0,4,347211.0
453,StockX,1728054.0,2072454.0,2247680.0,1,1,0,0,0,0,0,0,0,0,1,10,1203087.0
454,Big J Enterprises,208641.0,252308.0,269294.0,1,1,0,0,0,0,0,1,0,2,0,0,232499.0
455,Meesho,1171403.0,1407700.0,1520807.0,1,1,1,0,0,0,0,0,0,2,1,6,1219861.0
456,Tiger Anlaytics,1378823.0,1647147.0,1799911.0,1,0,1,0,0,0,0,0,0,0,1,9,1163106.0
457,Resonance (India),201033.0,242298.0,260285.0,0,0,1,0,0,0,0,1,1,0,1,0,156398.0
458,Educational Initiatives,1090642.0,1304967.0,1421639.0,1,0,1,0,0,0,0,1,0,2,1,6,1252921.0
459,DB Corp,720184.0,862687.0,937772.0,1,0,1,0,0,0,0,0,1,1,1,3,692509.0
460,Anuj,178045.0,211966.0,233146.0,0,0,1,0,0,0,0,1,1,0,0,0,112755.0
461,Jay Ganesh,683605.0,823243.0,885769.0,1,0,1,0,0,0,1,0,0,2,0,3,326497.0
462,Harkins Theatres,196090.0,192633.0,199929.0,0,0,0,0,0,0,0,0,0,0,0,0,173755.0
463,MobME,644712.0,770768.0,841012.0,1,0,1,0,0,0,0,1,0,2,0,3,559467.0
464,Technohoste services,1505473.0,1815659.0,1948024.0,0,0,1,0,0,0,0,0,0,2,1,8,1256636.0
465,National Informatics Centre,153190.0,163071.0,166217.0,0,0,0,0,0,0,0,0,0,0,1,0,271510.0
466,Prateek Group,166038.0,199539.0,194586.0,1,0,1,0,0,1,1,0,0,0,0,0,276297.0
467,CIERA MICRO TECHNOLOGIES,198532.0,168824.0,199462.0,0,0,0,0,0,0,0,0,0,0,1,0,223361.0
468,RamanByte,152899.0,171048.0,189047.0,1,0,0,1,0,0,1,0,0,0,1,0,174907.0
469,Uplara,176362.0,168704.0,155365.0,1,0,1,0,0,0,0,1,0,2,1,0,240690.0
470,Chili Pili,178767.0,192329.0,184439.0,0,0,1,0,0,0,0,0,1,2,0,0,102143.0
471,ABS,165357.0,167093.0,181368.0,1,1,0,0,0,0,0,1,0,2,0,0,128179.0
472,Teqtive IT Services,185373.0,153877.0,179278.0,1,0,0,0,1,1,1,0,0,0,1,0,212965.0
473,Crunkwave Solutions,164238.0,155862.0,184614.0,0,0,1,0,1,0,1,0,0,0,0,0,135110.0
474,Sujay Feeds,199439.0,192749.0,196122.0,1,0,1,0,0,0,0,0,1,2,1,0,169329.0
475,Stealth Mode Startup,153699.0,187626.0,173709.0,0,0,0,0,0,0,0,0,0,0,0,0,290711.0
476,Maania,159183.0,165218.0,155118.0,0,0,0,0,1,0,1,0,0,0,1,0,195886.0
477,Quint Digital,183023.0,185071.0,186973.0,0,0,1,0,0,0,0,0,1,1,1,0,205710.0
478,Stanza Living,168957.0,198410.0,157353.0,0,0,0,0,0,0,0,0,0,5,1,0,195928.0
479,Secure Meters,165346.0,197390.0,154047.0,0,1,0,0,0,0,0,0,0,5,1,0,111860.0
480,Mobius365,197940.0,152444.0,185890.0,0,0,0,0,0,0,0,0,0,0,1,0,205010.0
481,Transabel,187755.0,161473.0,183127.0,0,0,1,0,0,0,0,0,1,1,1,0,113410.0
482,D&B Technologies,170899.0,177386.0,163248.0,0,0,0,0,0,0,0,0,0,0,1,0,249495.0
483,Life9 Systems,187845.0,161520.0,187532.0,1,1,0,0,0,0,0,0,0,2,1,0,247276.0
484,Bluegen Solutions,189185.0,152381.0,185170.0,1,0,1,0,0,0,0,0,0,0,1,0,151027.0
485,IMDb,194075.0,176017.0,159820.0,0,0,0,0,1,0,1,0,0,0,1,0,195033.0
486,Samatrix.io,171015.0,182465.0,160783.0,1,0,1,0,0,0,0,0,0,2,1,0,245024.0
487,KibbCom,165525.0,162210.0,171503.0,1,0,0,0,0,0,0,0,0,0,0,0,175655.0
488,Creative Circle,169776.0,199086.0,184101.0,0,0,0,0,0,0,0,0,0,0,0,0,119275.0
489,Navriti Technologies,159388.0,168970.0,178956.0,0,0,0,0,0,0,0,0,1,1,0,0,201279.0
490,InvoLead,193267.0,152455.0,157617.0,1,0,1,0,0,0,0,0,0,1,1,0,232187.0
491,Jocata,184160.0,150607.0,194583.0,1,1,0,1,1,1,1,0,0,0,0,0,218057.0
492,Eat Local Eat Natural,164486.0,169555.0,163461.0,1,1,1,0,0,0,0,0,0,0,0,0,244141.0
493,Nomura Holdings,177103.0,187221.0,196983.0,0,0,0,0,0,0,0,0,0,0,0,0,173327.0
494,Indian School of Business,169693.0,189503.0,188217.0,0,0,0,0,0,0,0,0,0,1,0,0,263379.0
495,Center for Railway Information Systems,800392.0,951600.0,1049380.0,0,0,0,0,0,0,0,0,0,0,1,4,778362.0
496,NYU Langone Health,168032.0,157032.0,182035.0,1,0,0,0,0,0,0,0,0,0,1,0,131145.0
497,Simplilearn Solutions,153994.0,171957.0,155959.0,1,1,1,0,0,0,0,0,1,0,0,0,133728.0
498,Logitech,186485.0,168649.0,183447.0,0,0,0,0,0,0,0,0,0,2,0,0,125344.0
499,Adani Group,188775.0,179776.0,179195.0,0,0,1,0,0,0,0,0,1,1,1,0,203259.0
500,Unacademy,198182.0,192029.0,153646.0,1,1,0,0,0,0,0,0,0,2,0,0,197831.0
501,Synopsys,161477.0,185605.0,179716.0,0,0,1,0,0,0,0,0,0,2,1,0,188889.0
502,Innowatts,191025.0,184361.0,158647.0,0,1,0,0,1,0,1,0,0,0,1,0,195841.0
503,TM Systems,194482.0,182369.0,183636.0,1,0,0,0,0,0,0,0,0,0,0,0,297909.0
504,Appberry,177997.0,158794.0,177225.0,0,0,0,0,0,0,0,0,0,1,0,0,137818.0
505,Shree Cement,157857.0,183044.0,369268.0,0,0,0,0,0,0,0,0,0,0,1,0,152181.0
506,GSPANN Technologies,651840.0,775641.0,853959.0,0,0,0,0,0,0,0,0,0,0,0,4,615864.0
507,FactSet,639958.0,774768.0,825128.0,1,0,1,0,0,1,0,0,0,6,0,4,566926.0
508,Develearn Data Sciences Institute,624000.0,751274.0,808726.0,0,1,1,0,0,0,0,0,0,1,1,3,705221.0
509,Zebra Technologies,1029440.0,1239240.0,1334361.0,0,0,1,0,0,0,0,0,0,1,0,6,1062185.0
510,SiCureMi,183316.0,218904.0,239386.0,0,0,0,0,0,0,0,0,0,0,1,0,110552.0
511,Neurosensum,490284.0,590937.0,634774.0,0,0,1,0,0,0,0,0,1,1,0,0,111876.0
